area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,all,dist_100,2010,5095794225449.924,3421,345250075164.1653,-110.37555282622789,43.07055413000786,-129.9377380751601,30.79622256114016,-93.11178782934712,56.75614844247789,18002,2,173,0,14730,14821,5,13,12
10000,all,dist_100,2011,5034938979812.979,3914,395004032210.6234,-110.55721967404864,43.05494149446698,-127.7375536887403,30.79622256114016,-93.11178782934712,56.02973522319492,22627,2,196,0,15095,15186,5,13,12
10000,all,dist_100,2012,5184402692563.088,5027,507328888585.2844,-110.53199852276106,43.42871242904064,-130.11101211365252,30.762665979937026,-93.11178782934712,56.84147347219433,34800,2,279,0,15461,15552,5,13,11
10000,all,dist_100,2013,5031457212027.779,5968,602295366436.6376,-110.30814519947117,43.47440282639926,-127.7375536887403,31.04653177942783,-93.1088465729067,55.83922312416868,46503,2,479,0,15826,15917,5,13,11
10000,all,dist_100,2014,5197118714039.465,7038,710280628180.4719,-110.13000879602554,43.50858606556996,-129.9377380751601,30.762665979937026,-93.1088465729067,56.75614844247789,62816,3,554,0,16191,16282,5,13,10
10000,all,dist_100,2015,5075004539544.102,7735,780622429522.0162,-110.02718051984002,43.68262273334596,-127.74539208725906,31.04653177942783,-93.00151090960603,56.034528607114126,74986,3,725,0,16556,16647,5,13,10
10000,all,dist_100,2016,5218211162361.391,8391,846826477843.4697,-109.84852592246214,43.64652049792722,-130.11101211365252,31.04653177942783,-93.00151090960603,56.84147347219433,89977,3,777,0,16922,17013,5,13,10
10000,all,dist_100,2017,5204132710012.546,9254,933921132876.1134,-109.54110599509838,43.68327871408594,-129.9377380751601,30.79622256114016,-93.00151090960603,56.75614844247789,113548,4,1240,0,17287,17378,5,13,9
10000,all,dist_100,2018,5224670093904.947,9957,1004868459049.8661,-109.50862023059027,43.78101580862677,-130.11101211365252,30.762665979937026,-93.00151090960603,56.84147347219433,140662,4,1163,0,17652,17743,5,13,9
10000,all,dist_100,2019,5204788695247.4375,10221,1031511551667.0366,-109.50252911207232,43.85445872675745,-129.9377380751601,30.762665979937026,-93.04592372190483,56.75614844247789,166922,5,1347,0,18017,18108,5,13,9
10000,all,dist_100,2020,5220330499274.12,10111,1020410263076.5488,-109.61902832190044,43.89416531585921,-130.11101211365252,30.762665979937026,-93.00151090960603,56.84147347219433,201780,5,1414,0,18383,18474,5,13,9
10000,all,dist_100,2021,5222247994576.114,10583,1068044883210.2776,-109.42195567950883,43.78328642069824,-130.11101211365252,30.79622256114016,-93.04592372190483,56.84147347219433,235693,6,1735,0,18748,18839,5,13,9
10000,all,dist_100,2022,5192627738200.586,10490,1058659248311.0472,-109.47180639897859,43.86078178370186,-129.9377380751601,30.762665979937026,-93.00151090960603,56.75614844247789,246249,6,1662,0,19113,19204,5,13,9
