area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,10 - Northern Rockies,dist_100,2010,482956514088.89557,19,1917495301.9933023,-113.43977253092906,46.89184797970614,-122.68444525528943,40.43819844114315,-107.36955323452263,53.42316829014023,125,3,25,1,14733,14821,5,13,12
10000,10 - Northern Rockies,dist_100,2011,391471804022.741,18,1816574496.6252441,-113.37201664724303,46.37333695341796,-122.35028992278716,42.906387317989655,-108.62179176518438,52.14622751443795,116,2.5,22,1,15095,15186,5,13,12
10000,10 - Northern Rockies,dist_100,2012,614708625496.9104,34,3431307382.514345,-113.47934257752024,46.62675516020688,-122.64184199481767,41.118752335414236,-105.67309318925912,52.064838417955905,344,6,49,1,15461,15552,6,13,12
10000,10 - Northern Rockies,dist_100,2013,825633108716.1748,54,5449723489.875728,-114.00684975058532,46.647406524950014,-125.40974602933655,41.74769354070661,-108.98717594385424,54.14056702019598,724,5,73,1,15826,15917,5,13,11
10000,10 - Northern Rockies,dist_100,2014,617433487241.8479,69,6963535570.396788,-114.60726943727178,46.25949769625217,-122.63397496796144,42.975871051236695,-110.41814784360558,54.14056702019598,1468,7,124,1,16191,16282,5,13,11
10000,10 - Northern Rockies,dist_100,2015,879575279185.4082,75,7569060402.605168,-114.64740810099048,46.98891414841654,-124.16320520465742,41.20739750579762,-105.63960936574779,54.235154669291774,1281,5,129,1,16556,16647,5,13,11
10000,10 - Northern Rockies,dist_100,2016,831486515427.5231,83,8376426845.549748,-114.21121153000658,47.18086584184436,-124.16320520465742,41.0905828905977,-108.43411298555161,54.235154669291774,1714,7,195,1,16922,17013,5,13,11
10000,10 - Northern Rockies,dist_100,2017,900062202675.1261,119,12009575838.80024,-114.20600006946722,47.18330018032082,-124.16320520465742,40.479490756318974,-107.11535256166695,54.14056702019598,2707,10,353,1,17287,17378,5,13,11
10000,10 - Northern Rockies,dist_100,2018,888910453681.9547,127,12816942281.744772,-114.49565832769424,47.2322741163775,-124.30145495439264,41.0905828905977,-105.63960936574779,54.451137353396156,3221,13,290,1,17652,17743,5,13,10
10000,10 - Northern Rockies,dist_100,2019,817357602675.9935,137,13826150335.425446,-114.9942099236946,47.39408773772056,-124.30145495439264,41.271633129904274,-107.69082648745878,54.54141699701367,4943,14,365,1,18017,18108,5,13,10
